reg,idx,size,n_records,kind
A,0,48,12,SHORT-CODES
A,1,452,76,MIXED
A,2,28,6,SHORT-CODES
A,3,1516,244,MIXED
A,4,44,9,SHORT-CODES
A,5,92,12,WORDS
A,6,12,2,MIXED
A,7,176,28,MIXED
A,8,48,8,SHORT-CODES
A,9,144,19,MIXED
A,10,136,21,MIXED
A,11,64,10,MIXED
A,12,80,10,MIXED
A,13,56,9,MIXED
A,14,72,10,MIXED
A,15,72,12,MIXED
A,16,52,9,MIXED
A,17,52,9,MIXED
A,18,48,9,MIXED
A,19,68,10,MIXED
A,20,68,8,WORDS
A,21,120,17,MIXED
A,22,136,15,WORDS
A,23,80,12,MIXED
A,24,72,9,MIXED
A,25,100,11,WORDS
A,26,36,6,MIXED
A,27,52,6,MIXED
A,28,52,7,MIXED
A,29,52,8,MIXED
A,30,60,9,MIXED
A,31,76,9,MIXED
A,32,52,8,MIXED
A,33,48,6,MIXED
A,34,88,10,WORDS
A,35,64,9,MIXED
A,36,68,10,MIXED
A,37,44,6,MIXED
A,38,32,6,MIXED
A,39,128,14,WORDS
A,40,76,8,WORDS
A,41,44,7,MIXED
A,42,160,23,MIXED
A,43,48,6,MIXED
A,44,664,79,WORDS
A,45,136,18,MIXED
A,46,72,9,MIXED
A,47,280,44,MIXED
A,48,744,98,MIXED
A,49,104,12,WORDS
A,50,968,136,MIXED
A,51,520,83,MIXED
A,52,424,58,MIXED
A,53,96,13,MIXED
A,54,56,8,MIXED
A,55,136,20,MIXED
A,56,56,8,MIXED
A,57,44,7,MIXED
A,58,52,9,MIXED
A,59,96,14,MIXED
A,60,80,11,MIXED
A,61,136,17,WORDS
A,62,96,15,MIXED
A,63,112,17,MIXED
A,64,772,117,MIXED
A,65,60,10,MIXED
A,66,48,6,MIXED
A,67,40,6,MIXED
A,68,64,8,MIXED
A,69,128,20,MIXED
A,70,60,8,MIXED
A,71,16,3,MIXED
A,72,40,7,MIXED
A,73,44,6,MIXED
A,74,48,8,MIXED
A,75,40,6,MIXED
A,76,120,16,MIXED
A,77,84,12,MIXED
A,78,52,10,MIXED
A,79,64,8,MIXED
A,80,160,24,MIXED
A,81,52,9,MIXED
A,82,60,10,MIXED
A,83,196,29,MIXED
A,84,44,6,MIXED
A,85,72,9,WORDS
A,86,80,12,MIXED
A,87,88,13,MIXED
A,88,200,28,MIXED
A,89,168,23,MIXED
A,90,88,14,MIXED
A,91,24,4,MIXED
A,92,56,10,MIXED
A,93,72,11,MIXED
A,94,88,13,MIXED
A,95,80,11,MIXED
A,96,116,18,MIXED
A,97,52,8,MIXED
A,98,92,12,WORDS
A,99,44,8,MIXED
A,100,240,29,WORDS
A,101,84,13,MIXED
A,102,48,6,MIXED
A,103,36,6,MIXED
A,104,96,16,MIXED
A,105,68,11,MIXED
A,106,36,6,MIXED
A,107,36,6,MIXED
A,108,64,9,MIXED
A,109,60,8,MIXED
A,110,88,11,MIXED
A,111,88,13,MIXED
A,112,56,9,MIXED
A,113,36,7,SHORT-CODES
A,114,60,7,MIXED
A,115,88,13,MIXED
A,116,72,11,MIXED
A,117,176,28,MIXED
A,118,312,38,MIXED
A,119,96,11,WORDS
A,120,56,8,MIXED
A,121,56,8,MIXED
A,122,84,13,MIXED
A,123,36,6,MIXED
A,124,48,6,MIXED
A,125,72,9,WORDS
A,126,100,12,WORDS
A,127,68,11,MIXED
A,128,64,11,MIXED
A,129,64,10,MIXED
A,130,88,14,MIXED
A,131,184,30,MIXED
A,132,144,19,MIXED
A,133,136,20,MIXED
A,134,104,14,MIXED
A,135,88,11,MIXED
A,136,80,10,MIXED
