word,pos,n_observed,n_total,alt_pos,open_class
![hm],undef,2,2,,1
aa,noun,1,1,,1
aaa,noun,1,1,,1
aaron,noun,1,1,,1
ab,undef,1,1,,1
ababa,noun,1,1,,1
abacha,noun,1,1,,1
aback,adv,1,1,,1
abacus,noun,1,1,,1
abandon,noun_verb,1,1,,1
abandoned,verb_adj,1,1,,1
abandoning,verb,1,1,,1
abandonment,noun,1,1,,1
abandons,verb,1,1,,1
abate,verb,1,1,,1
abated,verb,1,1,,1
abatement,noun,1,1,,1
abattoir,noun,1,1,,1
abattoirs,noun,1,1,,1
abbey,noun,1,1,,1
abbot,noun,1,1,,1
abbott,noun,1,1,,1
abbreviated,verb,1,1,,1
abbreviation,noun,1,1,,1
abbreviations,noun,1,1,,1
abby,noun,1,1,,1
abdel,noun,1,1,,1
abdication,noun,1,1,,1
abdomen,noun,1,1,,1
abdominal,adj,1,1,,1
abducted,verb,1,1,,1
abducting,verb,1,1,,1
abduction,noun,1,1,,1
abductions,noun,1,1,,1
abdul,noun,1,1,,1
abdullah,undef,1,1,,1
abe,noun,1,1,,1
abed,adv,1,1,,1
abel,noun,1,1,,1
aberdeen,noun_adj,1,1,,1
aberrant,adj,1,1,,1
aberration,noun,1,1,,1
abetting,verb,1,1,,1
abhor,verb,1,1,,1
abhorrent,adj,1,1,,1
abide,verb,1,1,,1
abiding,verb_adj,1,1,,1
abidjan,noun,1,1,,1
abigail,noun,1,1,,1
abilene,noun,1,1,,1
ability,noun,1,1,,1
abilitys,noun,1,1,,1
abject,adj,1,1,,1
ablaze,adj,1,1,,1
able,noun_adj,1,1,,1
ably,adv,1,1,,1
abner,noun,1,1,,1
abnormal,adj,1,1,,1
abnormalitys,noun,1,1,,1
abnormally,adv,1,1,,1
aboard,prep,1,1,,0
abode,noun_verb,1,1,,1
abolish,verb,1,1,,1
abolished,verb,1,1,,1
abolishes,verb,1,1,,1
abolishing,verb,1,1,,1
abolition,noun_adj,1,1,,1
abolitionists,noun,1,1,,1
aboriginal,noun_adj,1,1,,1
aboriginals,noun,1,1,,1
aborigine,noun,1,1,,1
aborigines,noun,1,1,,1
abort,verb,1,1,,1
aborted,verb,1,1,,1
aborting,verb,1,1,,1
abortion,noun,1,1,,1
abortions,noun,1,1,,1
abortive,adj,1,1,,1
aborts,verb,1,1,,1
abound,verb,1,1,,1
about,prep,1,1,,0
above,prep,1,1,,0
abraham,noun,1,1,,1
abrahams,noun,1,1,,1
abrams,noun,1,1,,1
abrasive,noun_adj,1,1,,1
abreast,adj_adv,1,1,,1
abridged,verb_adj,1,1,,1
abridgement,noun,1,1,,1
abroad,adj,1,1,,1
abrogate,verb,1,1,,1
abrupt,adj,1,1,,1
abruptly,adv,1,1,,1
abs,noun,1,1,,1
absence,noun,1,1,,1
absentee,noun,1,1,,1
absentia,noun,1,1,,1
absinthe,noun,1,1,,1
absolute,noun_adj,1,1,,1
absolutely,adv,1,1,,1
absolution,noun,1,1,,1
absolutism,noun,1,1,,1
absolved,verb,1,1,,1
absorb,verb,1,1,,1
absorbed,verb_adj,1,1,,1
absorbers,noun_verb,1,1,,1
absorbing,verb_adj,1,1,,1
absorbs,verb,1,1,,1
absorption,noun,1,1,,1
abstain,verb,1,1,,1
abstained,verb,1,1,,1
abstention,noun,1,1,,1
abstraction,noun,1,1,,1
abstractions,noun,1,1,,1
abstruse,adj,1,1,,1
absurd,adj,1,1,,1
absurdity,noun,1,1,,1
absurditys,noun,1,1,,1
absurdly,adv,1,1,,1
abundance,noun,1,1,,1
abundant,adj,1,1,,1
abundantly,adv,1,1,,1
abused,verb,1,1,,1
abuser,noun,1,1,,1
abusers,verb,1,1,,1
abusing,verb,1,1,,1
abusive,adj,1,1,,1
abysmal,adj,1,1,,1
abyss,noun,1,1,,1
academia,noun,1,1,,1
academic,noun_adj,1,1,,1
academics,noun,1,1,,1
academy,noun,1,1,,1
academys,noun,1,1,,1
acapulco,noun,1,1,,1
accede,verb,1,1,,1
accelerate,verb,1,1,,1
accelerated,verb,1,1,,1
accelerates,verb,1,1,,1
accelerating,verb,1,1,,1
acceleration,noun,1,1,,1
accelerator,noun,1,1,,1
accelerators,noun,1,1,,1
accelerometer,noun,1,1,,1
accented,verb,1,1,,1
accept,verb,1,1,,1
acceptability,noun,1,1,,1
acceptable,adj,1,1,,1
acceptance,noun,1,1,,1
accepted,verb_adj,1,1,,1
accepting,verb,1,1,,1
accepts,verb,1,1,,1
access,noun_verb,1,1,,1
accessed,verb_adj,1,1,,1
accesses,noun_verb,1,1,,1
accessibility,noun,1,1,,1
accessible,adj,1,1,,1
accessing,verb,1,1,,1
accession,noun_verb,1,1,,1
accessory,noun_adj,1,1,,1
accessorys,noun,1,1,,1
accident,noun,1,1,,1
accidental,noun_adj,1,1,,1
accidentally,adv,1,1,,1
accidents,noun,1,1,,1
acclaim,noun_verb,1,1,,1
acclaimed,verb,1,1,,1
accolade,noun,1,1,,1
accolades,noun,1,1,,1
accommodate,verb,1,1,,1
accommodated,verb,1,1,,1
accommodates,verb,1,1,,1
accommodating,verb_adj,1,1,,1
accommodation,noun,1,1,,1
accommodations,noun,1,1,,1
accomodate,undef,1,1,,1
accompanied,verb,1,1,,1
accompaniment,noun,1,1,,1
accompany,verb,1,1,,1
accompanying,verb,1,1,,1
accompanys,verb,1,1,,1
accompli,noun,1,1,,1
accomplice,noun,1,1,,1
accomplis,undef,1,1,,1
accomplish,verb,1,1,,1
accomplished,verb_adj,1,1,,1
accomplishing,verb,1,1,,1
accomplishment,noun,1,1,,1
accomplishments,noun,1,1,,1
accord,noun_verb,1,1,,1
accordance,noun,1,1,,1
accorded,verb,1,1,,1
according,verb_adj,1,1,,1
accordingly,adv,1,1,,1
accordion,noun,1,1,,1
accords,noun_verb,1,1,,1
accosted,verb_adj,1,1,,1
account,noun_verb,1,2,noun:1,1
accountability,noun,1,1,,1
